common,strat_id,psu_id,YEAR,ST,ID_CODE,WAVE,SUB_REG,MODE_FX,AREA_X,kod,sp_code,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,wp_int,fl_reg,wp_catch,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,date_published
SAND DRUM,2023021263weS:8AM-8PM,2023112631562720230203,2023,12,1562720230203001,1,6,3,1,we,8835441101,18,1,0,18,0,1,4827.6,4.824,0,0,6,02,3894.82919,8,3894.82919,19,4.824,4827.6,18,2023021263weS:8AM-8PM,,0,05/05/2023
ATLANTIC THREADFIN,2023021263weS:8AM-8PM,2023112631562720230203,2023,12,1562720230203001,1,6,3,1,we,8838010101,1,0,0,1,0,0,0,0,0,0,6,02,3894.82919,8,3894.82919,1,0,0,1,2023021263weS:8AM-8PM,,0,05/05/2023
SAND DRUM,2023021263weS:8AM-8PM,2023112631562720230203,2023,12,1562720230203002,1,6,3,1,we,8835441101,12,4,0,12,0,4,3276,2.976,0,0,6,02,3894.82919,8,3894.82919,16,2.976,3276,12,2023021263weS:8AM-8PM,,0,05/05/2023
SOUTHERN KINGFISH,2023021263weS:8AM-8PM,2023112631562720230203,2023,12,1562720230203003,1,6,3,1,we,8835440601,1,0,0,1,0,0,310,0.28,0,0,6,02,3894.82919,8,3894.82919,1,0.28,310,1,2023021263weS:8AM-8PM,,0,05/05/2023
SAND DRUM,2023021263weS:8AM-8PM,2023112631562720230203,2023,12,1562720230203003,1,6,3,1,we,8835441101,22,20,0,22,0,20,6054.4,5.544,0,0,6,02,3894.82919,8,3894.82919,42,5.544,6054.4,22,2023021263weS:8AM-8PM,,0,05/05/2023
,2023021263weS:8AM-8PM,2023112631562720230203,2023,12,1562720230203004,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,02,4417.9349787,8,4417.9349787,0,0,0,0,2023021263weS:8AM-8PM,,0,05/05/2023
,2023021263weS:8AM-8PM,2023112631562720230203,2023,12,1562720230203005,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,02,4417.9349787,8,4417.9349787,0,0,0,0,2023021263weS:8AM-8PM,,0,05/05/2023
BLUEFISH,2023011263weS:8AM-8PM,2023112631563620230101,2023,12,1563620230101001,1,6,3,1,we,8835250101,0,1,0,0,0,1,0,0,0,0,6,01,35766.374238,8,35766.374238,1,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
CREVALLE JACK,2023011263weS:8AM-8PM,2023112631563620230101,2023,12,1563620230101001,1,6,3,1,we,8835280303,0,3,0,0,0,3,0,0,0,0,6,01,35766.374238,8,35766.374238,3,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
,2023011263weS:8AM-8PM,2023112631563620230101,2023,12,1563620230101002,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,01,35766.374238,8,35766.374238,0,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
CREVALLE JACK,2023011263weS:8AM-8PM,2023112631563620230101,2023,12,1563620230101003,1,6,3,1,we,8835280303,0,1,0,0,0,1,0,0,0,0,6,01,35292.7973,8,35292.7973,1,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
