prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,MODE_ASG,ASG_CODE,month,kod,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,date_published
,,200316128301wd,1234120030108117,,1,1,,2,1,11,998,O,0,0,,1,1234120030108001,7,1,3,0,0,0,0,,,0,12,99,6,1,1,2003,,1234120030108,01,wd,,1234120030108001,,,,8,2,,,20MAR200310:09,1,8,1,,,,0,0,1,8,8,2203,99997,3128.0960018,200316128301wd,,0,1234120030108001,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,998,O,0,0,,1,1234120030108002,7,1,3,0,0,0,0,,,0,12,99,6,1,1,2003,,1234120030108,01,wd,,1234120030108002,,,,8,2,,,20MAR200310:09,1,8,1,,,,0,0,1,8,8,2207,99997,3128.0960018,200316128301wd,,0,1234120030108002,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,998,O,0,0,,1,1234120030108003,7,1,3,0,0,0,0,,,0,12,99,6,1,1,2003,,1234120030108,01,wd,,1234120030108003,,,,8,2,,,20MAR200310:09,1,8,1,,,,0,0,1,8,8,2210,99997,3128.0960018,200316128301wd,,0,1234120030108003,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,998,O,0,0,,1,1234120030108004,7,1,3,0,0,0,0,,,0,12,99,6,1,1,2003,,1234120030108,01,wd,,1234120030108004,,,,8,2,,,20MAR200310:09,1,8,1,,,,0,0,1,8,8,2214,99997,3128.0960018,200316128301wd,,0,1234120030108004,05/04/2021
,,200316128301wd,1234120030108117,0,1,1,,2,1,11,11,Y,4,12,,1,1234120030108005,7,1,3,1,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108005,1,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,8,33309,4175.2923939,200316128301wd,,0,1234120030108005,05/04/2021
,,200316128301wd,1234120030108117,0,1,1,,2,1,11,11,Y,4,12,,1,1234120030108006,7,1,3,1,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108006,1,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,12,33309,4175.2923939,200316128301wd,,0,1234120030108006,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,3,6,,1,1234120030108007,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108007,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,34,33322,4175.2923939,200316128301wd,,0,1234120030108007,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,3,6,,1,1234120030108008,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108008,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,38,33322,4175.2923939,200316128301wd,,0,1234120030108008,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,5,7,,1,1234120030108009,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108009,,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,57,33062,4175.2923939,200316128301wd,,0,1234120030108009,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,5,7,,1,1234120030108010,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108010,,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,59,33062,4175.2923939,200316128301wd,,0,1234120030108010,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,5,7,,1,1234120030108011,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108011,,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,101,33062,4175.2923939,200316128301wd,,0,1234120030108011,05/04/2021
,,200316128301wd,1234120030108117,0,1,1,,2,1,11,11,Y,5,7,,1,1234120030108012,7,1,3,1,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108012,1,,,8,1,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,103,33062,4175.2923939,200316128301wd,,0,1234120030108012,05/04/2021
,,200316128301wd,1234120030108117,0,1,1,,1,1,11,11,Y,2,2,,0.5,1234120030108013,7,1,3,0,1,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108013,1,1,0,8,2,,BROWARD,20MAR200310:09,1,1,1,,,,0,0,1,8,8,121,33060,4175.2923939,200316128301wd,,0,1234120030108013,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,2,2,,0.5,1234120030108014,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108014,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,124,33060,4175.2923939,200316128301wd,,0,1234120030108014,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,2,2,,0.5,1234120030108015,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108015,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,126,33060,4175.2923939,200316128301wd,,0,1234120030108015,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,2,2,,0.5,1234120030108016,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108016,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,127,33060,4175.2923939,200316128301wd,,0,1234120030108016,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,2,2,,0.5,1234120030108017,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108017,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,128,33060,4175.2923939,200316128301wd,,0,1234120030108017,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,4,4,,2,1234120030108018,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108018,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,131,33067,4175.2923939,200316128301wd,,0,1234120030108018,05/04/2021
,,200316128301wd,1234120030108117,,1,1,,2,1,11,11,Y,4,4,,2,1234120030108019,7,1,3,0,0,0,0,,,6,12,12,6,1,1,2003,,1234120030108,01,wd,,1234120030108019,,,,8,2,,BROWARD,20MAR200310:09,1,8,1,,,,0,0,1,8,8,132,33067,4175.2923939,200316128301wd,,0,1234120030108019,05/04/2021
