prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,MODE_ASG,NUM_TYP9,ASG_CODE,month,kod,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,date_published
,BLUEFISH,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,50,100,,5,1169420031102001,3004,5,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102001,,,,8,1,,NEW LONDON,20040317,8,8,1,5,,,8835250101,,1,,8,1630,06320,7819.1799431,20036498311we,,0,1169420031102001,05/04/2021
,BLUEFISH,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,0,0,,5,1169420031102002,3004,5,3,1,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102002,1,,,8,2,,NEW LONDON,20040317,8,8,1,5,,,8835250101,,1,,8,1632,06320,7819.1799431,20036498311we,,0,1169420031102002,05/04/2021
,BLUEFISH,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,0,0,,5,1169420031102003,3004,5,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102003,,,,8,2,,NEW LONDON,20040317,8,8,1,5,,,8835250101,,1,,8,1634,06320,7819.1799431,20036498311we,,0,1169420031102003,05/04/2021
,STRIPED BASS,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,30,150,,2,1169420031102004,3004,5,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102004,,,,8,1,,NEW LONDON,20040317,8,8,1,5,,,8835020102,,1,,8,1700,06320,7819.1799431,20036498311we,,0,1169420031102004,05/04/2021
,STRIPED BASS,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,30,150,,2,1169420031102005,3004,5,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102005,,,,8,2,,NEW LONDON,20040317,8,8,1,5,,,8835020102,,1,,8,1702,99998,7819.1799431,20036498311we,,0,1169420031102005,05/04/2021
,STRIPED BASS,20036498311we,1169420031102113004,0,C,5,0,2,1,11,11,Y,20,70,,1.5,1169420031102006,3004,5,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169420031102,11,we,,1169420031102006,,,,8,1,,NEW LONDON,20040317,8,8,1,5,,,8835020102,,1,,8,1720,06372,7819.1799431,20036498311we,,0,1169420031102006,05/04/2021
,HICKORY SHAD,20036498311wd,11694200311077440,,C,5,0,2,1,7,3,Y,8,16,,1.5,1169420031107001,440,3,3,0,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107001,,,,8,1,,HARTFORD,20040317,8,8,1,3,,,8747010103,,1,,8,1035,06053,8698.6169098,20036498311wd,,0,1169420031107001,05/04/2021
HICKORY SHAD,STRIPED BASS,20036498311wd,11694200311077440,0,C,5,0,2,1,7,11,Y,16,45,,2.5,1169420031107002,440,3,3,2,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107002,1,,,8,1,,NEW LONDON,20040317,8,8,1,3,,,8835020102,8747010103,1,,8,1108,06333,8698.6169098,20036498311wd,,0,1169420031107002,05/04/2021
STRIPED BASS,HICKORY SHAD,20036498311wd,11694200311077440,,C,5,0,2,1,7,15,Y,25,45,,1.5,1169420031107006,440,3,3,0,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107006,,,,8,1,,WINDHAM,20040317,8,8,1,3,,,8747010103,8835020102,1,,8,1410,06354,8698.6169098,20036498311wd,,0,1169420031107006,05/04/2021
,STRIPED BASS,20036498311wd,11694200311077440,,C,5,0,2,1,7,7,Y,0,0,,0.5,1169420031107007,440,3,3,0,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107007,,,,8,1,,MIDDLESEX,20040317,8,8,1,3,,,8835020102,,1,,8,1418,06413,8698.6169098,20036498311wd,,0,1169420031107007,05/04/2021
,STRIPED BASS,20036498311wd,11694200311077440,,C,5,0,2,1,7,7,Y,0,0,,0.5,1169420031107008,440,3,3,0,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107008,,,,8,2,,MIDDLESEX,20040317,8,8,1,3,,,8835020102,,1,,8,1420,06413,8698.6169098,20036498311wd,,0,1169420031107008,05/04/2021
,STRIPED BASS,20036498311wd,11694200311077440,,C,5,0,2,1,7,73,O,0,0,,0.5,1169420031107009,440,3,3,0,0,0,0,,,1,9,6,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107009,,,,8,1,,SAN DIEGO,20040317,8,8,1,3,,,8835020102,,1,,8,1422,92084,10220.133348,20036498311wd,,0,1169420031107009,05/04/2021
,STRIPED BASS,20036498311wd,11694200311077440,0,C,5,0,2,1,7,3,Y,9,52,,1.5,1169420031107010,440,3,3,2,0,0,0,,,4,9,9,4,1,6,2003,3,0,1169420031107,11,wd,,1169420031107010,1,,,8,1,,HARTFORD,20040317,8,8,1,3,,,8835020102,,1,,8,1428,06062,8698.6169098,20036498311wd,,0,1169420031107010,05/04/2021
STRIPED BASS,HICKORY SHAD,20036498311wd,11695200311037440,0,C,5,0,2,1,7,7,Y,25,30,,2,1169520031103001,440,3,3,1,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169520031103,11,wd,,1169520031103001,1,,,8,1,,MIDDLESEX,20040317,8,8,1,3,,,8747010103,8835020102,1,,8,1450,06422,8698.6169098,20036498311wd,,0,1169520031103001,05/04/2021
STRIPED BASS,HICKORY SHAD,20036498311wd,11695200311037440,0,C,5,0,1,1,7,7,Y,6,10,,2,1169520031103002,440,3,3,1,1,0,0,,,4,9,9,4,1,6,2003,1,0,1169520031103,11,wd,,1169520031103002,1,1,0,8,1,,MIDDLESEX,20040317,8,1,1,3,,,8747010103,8835020102,1,,8,1451,06422,8698.6169098,20036498311wd,,0,1169520031103002,05/04/2021
STRIPED BASS,BLUEBACK HERRING,20036498311wd,11695200311037440,,C,5,0,2,1,7,3,Y,20,35,,1,1169520031103003,440,3,3,0,0,0,0,,,4,9,9,4,1,6,2003,1,0,1169520031103,11,wd,,1169520031103003,,,,8,1,,HARTFORD,20040317,8,8,1,3,,,8747010102,8835020102,1,,8,1500,06447,8698.6169098,20036498311wd,,0,1169520031103003,05/04/2021
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,3,Y,4,8,1,5,1169420031108001,643,6,6,0,3,0,0,1,36,4,9,9,4,1,6,2003,6,17,1169420031108,11,we,,1169420031108001,1,3,0,8,1,,HARTFORD,20040317,8,1,1,6,,,8839010101,,1,,8,1255,06052,0,20036498611we,,0,1169420031108001,05/04/2021
